date,time,open,high,low,close,Volume
04-06-2021,12:50:00,15696,15700.55,15687.45,15688.65,0
04-06-2021,12:55:00,15688.75,15689.4,15680.15,15685.85,0
04-06-2021,13:00:00,15686,15693.65,15666.5,15666.65,0
04-06-2021,13:05:00,15666.45,15672.75,15658.25,15664.6,0
04-06-2021,13:10:00,15664.65,15669.65,15663.35,15665.4,0
04-06-2021,13:15:00,15665.75,15674.25,15665.25,15666.55,0
04-06-2021,13:20:00,15665.95,15667.5,15662.35,15662.8,0
04-06-2021,13:25:00,15662.9,15663.05,15644.75,15647.9,0
04-06-2021,13:30:00,15647.7,15659.3,15647.2,15654.6,0
04-06-2021,13:35:00,15654.8,15655.2,15644.3,15649,0
04-06-2021,13:40:00,15649.75,15654.05,15630.95,15631.95,0
04-06-2021,13:45:00,15632.05,15637.15,15623.25,15629.6,0
04-06-2021,13:50:00,15629.05,15631.3,15622.5,15628.5,0
04-06-2021,13:55:00,15628.4,15652,15628.4,15650.25,0
04-06-2021,14:00:00,15650,15660,15645.7,15647.55,0
04-06-2021,14:05:00,15647.85,15650.3,15641.35,15645.35,0
04-06-2021,14:10:00,15646.35,15662.8,15644.5,15662.7,0
04-06-2021,14:15:00,15662.25,15669.85,15655.95,15656.35,0
04-06-2021,14:20:00,15656.55,15659.7,15651.6,15655.4,0
04-06-2021,14:25:00,15655.05,15662.1,15655.05,15661.05,0
04-06-2021,14:30:00,15661.2,15667.85,15654.2,15654.3,0
04-06-2021,14:35:00,15654.25,15659.35,15650.05,15652.65,0
04-06-2021,14:40:00,15653.05,15656.85,15650.15,15650.8,0
04-06-2021,14:45:00,15651.25,15659.3,15651.25,15653.55,0
04-06-2021,14:50:00,15654.25,15669.55,15648.25,15666.85,0
04-06-2021,14:55:00,15666.45,15676.25,15665.2,15665.65,0
04-06-2021,15:00:00,15665.1,15676.35,15663.85,15669.8,0
04-06-2021,15:05:00,15670.3,15670.3,15656.45,15664.35,0
04-06-2021,15:10:00,15664.6,15672.95,15664.3,15672.2,0
04-06-2021,15:15:00,15671.35,15677.15,15666,15667.35,0
04-06-2021,15:20:00,15667.7,15682,15664.75,15676.25,0
04-06-2021,15:25:00,15675.6,15678.65,15666.7,15670.65,0
07-06-2021,09:15:00,15727.95,15725.1,15699.4,15708.85,0
07-06-2021,09:20:00,15708.4,15710.7,15679.45,15690,0
07-06-2021,09:25:00,15693.2,15702.9,15690.5,15700.3,0
07-06-2021,09:30:00,15700.9,15711.95,15694.95,15708.15,0
07-06-2021,09:35:00,15708.1,15710.1,15702.6,15708,0
07-06-2021,09:40:00,15707.7,15710.9,15699.35,15704.8,0
